"","1/14/2019","HOLCIM ECUADOR S.A.","ACCIONES","282","70","94","6580","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/14/2019","CORPORACION FAVORITA C.A.","ACCIONES","2500","2.55","2500","6375","BVG"
"","1/14/2019","CORPORACION FAVORITA C.A.","ACCIONES","219","2.54","219","556.26","BVG"
"","1/14/2019","CORPORACION FAVORITA C.A.","ACCIONES","300","2.54","300","762","BVG"
"","1/14/2019","CORPORACION FAVORITA C.A.","ACCIONES","450","2.54","450","1143","BVG"
"","1/14/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1731","0.96","1731","1661.76","BVG"
"","1/14/2019","CORPORACION FAVORITA C.A.","ACCIONES","3968","2.52","3968","9999.36","BVG"
"","","","","","","","",""
"","1/15/2019","BANCO GUAYAQUIL S.A.","ACCIONES","327","0.96","327","313.92","BVG"
"","1/15/2019","BANCO GUAYAQUIL S.A.","ACCIONES","760","0.96","760","729.6","BVG"
"","1/15/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1298","0.96","1298","1246.08","BVG"
"","1/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","303","2.53","303","766.59","BVG"
"","1/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","180","2.52","180","453.6","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","184","2.52","184","463.68","BVG"
"","1/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","1000","2.52","1000","2520","BVG"
"","1/16/2019","CORPORACION FAVORITA C.A.","ACCIONES","92","2.52","92","231.84","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2697","0.94","2697","2535.18","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1547","0.94","1547","1454.18","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","15000","0.96","15000","14400","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","10000","0.95","10000","9500","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","11000","0.96","11000","10560","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2697","0.96","2697","2589.12","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1547","0.96","1547","1485.12","BVG"
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","31261","0.96","31261","30010.56","BVG"
"","","","","","","","",""
"","1/16/2019","BANCO GUAYAQUIL S.A.","ACCIONES","5115","0.97","5115","4961.55","BVG"
"","1/16/2019","CORPORACION FAVORITA C.A.","ACCIONES","23068","2.53","23068","58362.04","BVG"
"","1/17/2019","CORPORACION FAVORITA C.A.","ACCIONES","2467","2.6","2467","6414.2","BVG"
"","1/17/2019","CORPORACION FAVORITA C.A.","ACCIONES","2467","2.6","2467","6414.2","BVG"
"","1/17/2019","CORPORACION FAVORITA C.A.","ACCIONES","2467","2.6","2467","6414.2","BVG"
"","1/17/2019","CORPORACION FAVORITA C.A.","ACCIONES","2467","2.6","2467","6414.2","BVG"
"","","","","","","","",""
"","1/17/2019","CORPORACION FAVORITA C.A.","ACCIONES","746","2.6","746","1939.6","BVG"
"","1/17/2019","SAN CARLOS SOC. AGR. IND.","ACCIONES","5500","0.75","5500","4125","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","1/18/2019","BANCO GUAYAQUIL S.A.","ACCIONES","4893","0.96","4893","4697.28","BVG"
"","1/18/2019","BANCO GUAYAQUIL S.A.","ACCIONES","15623","0.96","15623","14998.08","BVG"
"","1/18/2019","CORPORACION FAVORITA C.A.","ACCIONES","1240","2.58","1240","3199.2","BVG"
"","1/18/2019","BANCO BOLIVARIANO C.A.","ACCIONES","4000","0.9","4000","3600","BVG"
"","","","","","","","",""
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","1210","2.58","1210","3121.8","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","448","2.6","448","1164.8","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","5390","2.65","5390","14283.5","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","610","2.65","610","1616.5","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","15000","2.65","15000","39750","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","593","2.7","593","1601.1","BVG"
