UNNAMED: 0,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,166.0,282.2,BVG
,2024-01-02,BANCO PICHINCHA C.A.,ACCIONES,100.0,88.0,70.0,6160.0,BVQ
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.73,4632.0,8013.36,BVQ
,2024-01-02,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1.0,1.0,10000.0,10000.0,BVQ
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,828.0,1407.6,BVQ
,2024-01-02,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,0.95,346.0,328.7,BVG
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,79.0,134.3,BVQ
,2024-01-02,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,0.93,85.0,79.05,BVQ
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.69,118.0,199.42,BVQ
,2024-01-02,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,109.0,185.3,BVQ
,2024-01-02,CERVECERIA NACIONAL CN S A,ACCIONES,1.0,44.0,50.0,2200.0,BVQ
,2024-01-02,CERVECERIA NACIONAL CN S A,ACCIONES,1.0,40.0,5.0,200.0,BVQ
,2024-01-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,0.98,230.0,225.4,BVG
,2024-01-03,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,4000.0,6800.0,BVQ
,2024-01-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,0.98,346.0,339.08,BVG
,2024-01-03,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.69,1429.0,2415.01,BVQ
,2024-01-03,HOLCIM ECUADOR S.A.,ACCIONES,3.0,42.5,9.0,382.5,BVQ
,2024-01-03,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.7,4000.0,6800.0,BVQ
,2024-01-03,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.69,5953.0,10060.57,BVQ
