FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2019-08-28,CORPORACION FAVORITA C.A.,ACCIONES,100.0,2.45,100.0,245.0,BVG
2019-08-28,BANCO GUAYAQUIL S.A.,ACCIONES,1314.0,0.86,1314.0,1130.04,BVG
2019-08-29,CORPORACION FAVORITA C.A.,ACCIONES,127.0,2.45,127.0,311.15,BVG
2019-08-30,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,50000.0,1.1,50000.0,55000.0,BVG
2019-08-30,BANCO BOLIVARIANO C.A.,ACCIONES,39170.0,0.92,39170.0,36036.4,BVG
2019-08-30,CORPORACION FAVORITA C.A.,ACCIONES,1620.0,2.46,1620.0,3985.2,BVG
2019-09-02,BANCO PICHINCHA C.A.,ACCIONES,1500.0,95.0,15.0,1425.0,BVG
2019-09-02,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,40260.0,1.15,40260.0,46299.0,BVG
2019-09-02,CORPORACION FAVORITA C.A.,ACCIONES,1000.0,2.46,1000.0,2460.0,BVG
2019-09-03,CORPORACION FAVORITA C.A.,ACCIONES,10758.0,2.46,10758.0,26464.68,BVG
2019-09-03,BANCO GUAYAQUIL S.A.,ACCIONES,994.0,0.87,994.0,864.78,BVG
2019-09-04,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,48000.0,1.15,48000.0,55200.0,BVG
2019-09-04,BANCO GUAYAQUIL S.A.,ACCIONES,6000.0,0.85,6000.0,5100.0,BVG
2019-09-04,CORPORACION FAVORITA C.A.,ACCIONES,188.0,2.46,188.0,462.48,BVG
2019-09-05,CORPORACION FAVORITA C.A.,ACCIONES,400.0,2.46,400.0,984.0,BVG
2019-09-06,SAN CARLOS SOC. AGR. IND.,ACCIONES,5000.0,0.65,5000.0,3250.0,BVG
2019-09-06,CORPORACION FAVORITA C.A.,ACCIONES,73713.0,2.49,73713.0,183545.37,BVG
2019-09-09,BANCO GUAYAQUIL S.A.,ACCIONES,5800.0,0.85,5800.0,4930.0,BVG
2019-09-09,CORPORACION FAVORITA C.A.,ACCIONES,6670.0,2.48,6670.0,16541.6,BVG
2019-09-10,BANCO GUAYAQUIL S.A.,ACCIONES,4313.0,0.84,4313.0,3622.92,BVG
2019-09-10,CORPORACION FAVORITA C.A.,ACCIONES,2492.0,2.49,2492.0,6205.08,BVG
