"AÑO","EMISOR","RENDIMIENTO"
"2022","BOLSA DE VALORES DE QUITO","16.41%"
"2022","BOLSA DE VALORES DE GUAYAQUIL","7.17%"
"2023","BOLSA DE VALORES DE QUITO","12.96%"
"2023","BOLSA DE VALORES DE GUAYAQUIL","8.52%"
"2024","BOLSA DE VALORES DE QUITO","9.67%"
"2024","BOLSA DE VALORES DE GUAYAQUIL","14.29%"
